title,release_year,vote_count_max,vote_average_prom
13 Frightened Girls,1963,7.0,6.2
13 Ghosts,1960,31.0,5.6
13 Going on 30,2004,1260.0,6.3
13 Hours in a Warehouse,2008,7.0,4.1
13 Hours: The Secret Soldiers of Benghazi,2016,963.0,7.0
13 Lakes,2004,1.0,5.0
13 Minutes,2015,63.0,7.0
13 Moons,2002,4.0,5.8
13 Rue Madeleine,1947,12.0,6.3
13 Sins,2014,355.0,6.2
13 Tzameti,2005,66.0,6.9
13 days of October,2015,1.0,9.0
13/13/13,2013,15.0,4.0
13B: Fear Has a New Address,2009,16.0,5.7
13Hrs,2010,18.0,4.5
13th,2016,133.0,8.0
14 Blades,2010,62.0,6.5
14 Going on 30,1988,4.0,5.0
1408,2007,1372.0,6.5
1492: Conquest of Paradise,1992,180.0,6.1
15,2005,1.0,8.0
15 Février 1839,2001,5.0,6.7
15 Minutes,2001,194.0,5.7
15 Years and One Day,2013,7.0,6.4
150 Milligrams,2016,20.0,7.4
15: The Movie,2003,9.0,4.9
16 Acres,2012,4.0,7.5
16 Blocks,2006,675.0,6.2
16 Wishes,2010,283.0,5.5
16 Years of Alcohol,2003,8.0,6.8
16 to Life,2009,5.0,4.4
16-love,2012,6.0,4.7
1612: Chronicles of the Dark Time,2007,8.0,5.3
17 Again,2009,1388.0,6.1
17 Girls,2011,103.0,5.6
1776,1972,20.0,7.1
18 Again!,1988,27.0,5.7
18 Fingers of Death!,2006,3.0,5.0
18 Meals,2010,2.0,6.0
18 Year Old Virgin,2009,31.0,2.9
18 Years Later,2010,12.0,7.1
18 Years Old and Rising,2011,18.0,5.1
180° South: Conquerors of the Useless,2010,20.0,6.6
1812,1912,1.0,4.0
186 Dollars to Freedom,2012,5.0,4.8
1898. Our Last Men in the Philippines,2016,39.0,6.5
1900,1976,84.0,7.5
1911,2011,41.0,5.0
1915,2015,1.0,6.0
1920,2008,7.0,5.4
1920: Evil Returns,2012,5.0,5.4
1939: Hollywood's Greatest Year,2009,1.0,8.0
1941,1979,145.0,5.6
1942: A Love Story,1994,5.0,4.6
1944,2015,32.0,6.8
1944 The Final Defence,2007,4.0,4.6
1969,1988,21.0,5.5
1971,2014,3.0,7.7
1981,2009,12.0,6.9
1984,1956,23.0,7.0
1987,2014,6.0,6.8
1989,2014,0.0,0.0
1990: The Bronx Warriors,1982,18.0,4.2
1991: The Year Punk Broke,1992,11.0,7.0
1:54,2016,37.0,7.4
1st to Die,2003,2.0,3.0
1½ Knights - In Search of the Ravishing Princess Herzelinde,2008,45.0,4.5
2,2007,0.0,0.0
2 Alone in Paris,2008,74.0,5.1
2 Autumns 3 Winters,2013,12.0,6.0
2 Become 1,2006,1.0,6.0
2 Days in New York,2012,94.0,5.4
2 Days in Paris,2007,106.0,6.3
2 Days in the Valley,1996,73.0,5.9
2 Fast 2 Furious,2003,2087.0,6.2
2 Guns,2013,1611.0,6.6
2 Hours,2012,5.0,3.2
2 Lava 2 Lantula!,2016,18.0,5.1
2 Nights Till Morning,2015,4.0,7.5
2 States,2014,46.0,6.4
2 Young,2005,3.0,7.3
2 or 3 Things I Know About Her,1967,33.0,7.0
2-Headed Shark Attack,2012,52.0,3.5
20 Dates,1998,3.0,3.7
20 Feet from Stardom,2013,85.0,7.4
20 Ft Below: The Darkness Descending,2014,12.0,2.0
20 Million Miles to Earth,1957,29.0,6.1
20 Seconds of Joy,2012,1.0,8.0
20 Years After,2008,20.0,2.8
"20,000 Days on Earth",2014,73.0,7.0
"20,000 Leagues Under the Sea",1916,7.0,6.0
"20,000 Leagues Under the Sea",1954,160.0,6.9
"20,000 Leagues Under the Sea",1997,13.0,5.449999999999999
"20,000 Years in Sing Sing",1932,10.0,5.8
200 Cigarettes,1999,44.0,6.1
200 MPH,2011,13.0,3.7
200 Motels,1971,5.0,5.5
200 Pounds Beauty,2006,52.0,6.6
2000 AD,2000,9.0,6.7
2001 Maniacs,2005,70.0,4.9
2001: A Space Odyssey,1968,3075.0,7.9
2001: A Space Travesty,2000,52.0,4.1
2009: Lost Memories,2002,24.0,5.2
2010,1984,290.0,6.6
2010: Moby Dick,2010,26.0,2.8
2012,2009,4994.0,5.6
2012 Doomsday,2008,32.0,2.3
2012: Ice Age,2011,84.0,3.8
2012: Supernova,2009,15.0,3.7
2012: Time for Change,2010,1.0,5.0
2016: Obama's America,2012,19.0,4.6
2019: After the Fall of New York,1983,18.0,4.5
2020 Texas Gladiators,1983,4.0,3.9
2033,2010,5.0,3.3
2046,2004,208.0,6.9
2047: Sights of Death,2014,18.0,2.4
2061 - Un anno eccezionale,2007,20.0,3.3
2081,2009,20.0,7.2
2084,1984,7.0,6.0
20th Century Boys - Chapter 1: Beginning of the End,2008,21.0,6.7
20th Century Boys - Chapter 2: The Last Hope,2009,15.0,6.7
20th Century Boys - Chapter 3: Our Flag,2009,16.0,6.8
20th Century Women,2016,213.0,7.3
21,2008,1406.0,6.5
21 & Over,2013,748.0,5.7
21 Days,2014,3.0,4.7
21 Grams,2003,943.0,7.2
21 Hours at Munich,1976,2.0,5.0
21 Jump Street,2012,4151.0,6.7
21 Nights with Pattie,2015,28.0,5.7
21 Up,1977,18.0,7.9
21 Ways to Ruin a Marriage,2013,7.0,6.4
21 Years: Richard Linklater,2014,8.0,6.3
21-87,1963,10.0,7.9
2103: The Deadly Wake,1997,2.0,4.5
22 Bullets,2010,285.0,6.4
22 Jump Street,2014,3375.0,7.0
22 Minutes,2014,22.0,5.1
23,1998,55.0,7.1
23 Blast,2014,21.0,6.1
23 Paces to Baker Street,1956,15.0,6.2
24,2016,22.0,7.1
24 7: Twenty Four Seven,1997,10.0,6.3
24 City,2008,9.0,8.1
24 Days,2014,25.0,6.7
24 Exposures,2013,11.0,3.9
24 Hour Party People,2002,109.0,6.8
24 Hours On Craigslist,2006,0.0,0.0
247°F,2011,46.0,5.2
24: Redemption,2008,168.0,7.1
24×36,2016,7.0,8.1
25 April,2015,3.0,7.0
25 Carat,2008,1.0,7.0
25 Fireman's Street,1973,1.0,5.0
25 Watts,2001,8.0,5.7
252: Signal of Life,2008,3.0,3.7
25th Hour,2002,640.0,7.2
26 Years,2012,14.0,6.7
27 Dresses,2008,1013.0,6.1
27 Missing Kisses,2000,5.0,5.8
28 Days,2000,210.0,6.0
28 Days Later,2002,1816.0,7.1
28 Hotel Rooms,2012,20.0,6.0
28 Up,1984,19.0,7.9
28 Weeks Later,2007,1225.0,6.5
29 Palms,2002,10.0,5.6
29th Street,1991,5.0,7.0
29th and Gay,2005,2.0,5.0
2:13,2009,10.0,4.6
2:22,2008,13.0,5.2
2:22,2017,277.0,5.5
2:37,2006,50.0,6.7
2AM: The Smiling Man,2013,12.0,6.6
2LDK,2003,18.0,7.1
2gether,2000,4.0,4.5
3 A.M,2014,3.0,2.7
3 A.M.,2001,5.0,5.0
3 Avengers,1964,0.0,0.0
3 Backyards,2010,4.0,4.8
3 Bad Men,1926,8.0,7.3
3 Blind Mice,2003,8.0,4.9
3 Braves,2015,2.0,7.5
3 Days of Normal,2012,4.0,4.9
3 Days to Kill,2014,896.0,6.0
3 Geezers!,2013,11.0,5.0
3 Generations,2016,75.0,6.1
3 Godfathers,1948,39.0,6.1
3 Hati Dua Dunia Satu Cinta,2010,0.0,0.0
3 Hearts,2014,38.0,5.5
3 Idiotas,2017,14.0,6.2
3 Idiots,2009,850.0,7.8
3 Needles,2005,0.0,0.0
3 Nights in the Desert,2015,20.0,4.4
3 Ninjas,1992,102.0,5.5
3 Ninjas Kick Back,1994,50.0,4.6
3 Ninjas Knuckle Up,1995,32.0,4.2
3 Ninjas: High Noon at Mega Mountain,1998,38.0,3.9
3 Ring Circus,1954,5.0,5.5
3 Simoa,2012,0.0,0.0
3 Strikes,2000,15.0,5.9
3 Times a Charm,2011,11.0,4.9
3 Türken und ein Baby,2015,23.0,5.9
3 Women,1977,66.0,6.8
3 Zimmer/Küche/Bad,2012,28.0,7.1
"3 ½ Minutes, 10 Bullets",2015,30.0,7.8
"3, 2, 1... Frankie Go Boom",2012,22.0,5.6
3-D Sex and Zen: Extreme Ecstasy,2011,17.0,3.9
3-Day Weekend,2008,5.0,3.6
3-Headed Shark Attack,2015,41.0,4.0
3-Iron,2004,225.0,7.7
30 Beats,2012,5.0,3.3
30 Days Until I'm Famous,2004,2.0,5.8
30 Days of Night,2007,784.0,6.2
30 Days of Night: Dark Days,2010,121.0,4.8
30 Minutes or Less,2011,537.0,5.6
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2013,28.0,2.9
30 YEARS TO LIFE,2003,1.0,6.0
30 Years to Life,1998,1.0,5.0
300,2006,5092.0,7.0
300 Miles to Heaven,1989,2.0,4.5
3000 Miles to Graceland,2001,181.0,5.8
300: Rise of an Empire,2014,2438.0,6.1
"301, 302",1995,10.0,6.2
305,2008,3.0,3.3
3096 Days,2013,121.0,6.6
31,2016,193.0,4.9
31 North 62 East,2009,5.0,4.4
31st of June,1978,3.0,4.3
32A,2007,6.0,6.7
33 Postcards,2011,8.0,6.4
33 Scenes from Life,2008,4.0,6.0
35 Shots of Rum,2009,19.0,6.5
35 Up,1991,8.0,7.7
35 and Ticking,2011,10.0,5.3
36,2012,4.0,7.5
36 China Town,2006,11.0,5.5
36 Hours,1964,19.0,6.9
360,2012,81.0,5.7
36th Precinct,2004,115.0,6.7
37,2016,8.0,4.6
38 Parrots,1976,7.0,5.9
388 Arletta Avenue,2011,16.0,4.9
3: The Dale Earnhardt Story,2004,7.0,6.4
3:10 to Yuma,1957,77.0,7.1
3:10 to Yuma,2007,1210.0,6.9
3:15,1985,2.0,6.0
3nity,2010,6.0,5.9
3rd World Hero,2000,2.0,8.5
3x3,2009,3.0,6.0
3° kälter,2006,0.0,0.0
4,2005,10.0,5.2
4 Elements,2006,2.0,6.0
4 Horror Tales - Roommates,2006,4.0,6.3
4 Little Girls,1997,12.0,6.7
4 Minute Mile,2014,23.0,5.5
"4 Months, 3 Weeks and 2 Days",2007,158.0,7.4
4 Moons,2014,45.0,7.7
4 for Texas,1963,16.0,4.6
4.1 Miles,2016,5.0,7.8
4.3.2.1,2010,63.0,5.9
40 Carats,1973,1.0,7.5
40 Days and 40 Nights,2002,306.0,5.2
40 Guns to Apache Pass,1967,9.0,4.1
40 Pounds of Trouble,1962,1.0,6.5
400 Days,2015,193.0,4.2
404: Error Not Found,2011,3.0,5.2
41,2012,1.0,5.0
42,2013,795.0,6.8
42 One Dream Rush,2010,6.0,7.8
42 Up,1998,9.0,6.6
42nd Street,1933,38.0,6.1
44 Inch Chest,2009,37.0,6.0
44 Minutes: The North Hollywood Shoot-Out,2003,17.0,6.4
44500 Max,2009,1.0,6.0
45 Years,2015,259.0,6.3
45365,2010,1.0,5.0
47 Meters Down,2017,548.0,5.1
47 Ronin,1994,3.0,8.0
47 Ronin,2013,1357.0,5.9
47 Samurai,1962,20.0,7.1
48 Hrs.,1982,364.0,6.5
48 Shades,2006,3.0,3.2
49 Up,2005,12.0,6.9
49th Parallel,1941,20.0,6.6
4:44 Last Day on Earth,2011,48.0,4.4
4Got10,2015,17.0,4.3
4bia,2008,30.0,6.5
4th Man Out,2016,97.0,6.8
4th Period Mystery,2009,6.0,6.3
5 Against the House,1955,6.0,5.3
5 Card Stud,1968,20.0,6.0
5 Centimeters per Second,2007,403.0,7.3
5 Days of War,2011,63.0,5.8
5 Dolls for an August Moon,1970,20.0,5.7
5 Fingers,1952,19.0,7.2
5 Flights Up,2014,92.0,5.9
5 Steps to Danger,1957,4.0,5.8
5 to 7,2014,96.0,6.9
50 Children: The Rescue Mission of Mr. and Mrs. Kraus,2013,0.0,0.0
50 First Dates,2004,2161.0,6.6
50 Kilos of Sour Cherry,2016,0.0,0.0
50 to 1,2014,19.0,5.7
50/50,2011,1287.0,7.0
500 MPH Storm,2013,21.0,2.9
51,2011,41.0,4.5
51 Birch Street,2006,6.0,6.8
51 Degrees North,2015,1.0,4.0
5150 Elm's Way,2009,32.0,6.5
52 Pick-Up,1986,23.0,5.8
52 Tuesdays,2014,8.0,5.9
54,1998,138.0,5.5
54 Days,2014,1.0,0.0
55 Days at Peking,1963,38.0,6.5
56 Up,2012,12.0,7.5
5ive Days to Midnight,2004,18.0,6.8
5ive Girls,2006,19.0,4.4
5th Day of Peace,1970,2.0,4.5
6 Bullets,2012,91.0,5.5
6 Days to Air: The Making of South Park,2011,31.0,7.0
6 Desires,2014,2.0,7.0
6 Month Rule,2012,3.0,5.7
6 Ways to Die,2015,10.0,4.2
6 Years,2015,306.0,5.5
600 Miles,2016,37.0,6.2
61*,2001,34.0,6.3
616: Paranormal Incident,2013,8.0,3.1
633 Squadron,1964,16.0,5.3
638 Ways to Kill Castro,2006,6.0,5.3
66 Scenes from America,1982,3.0,7.0
6A,2016,0.0,0.0
6ixtynin9,1999,18.0,7.0
7 Below,2012,34.0,3.7
7 Boxes,2012,35.0,6.5
7 Chinese Brothers,2015,20.0,5.2
7 Days in Havana,2012,23.0,5.4
7 Days in Hell,2015,132.0,6.4
7 Days in September,2002,1.0,8.0
7 Days of Himawari & Her Puppies,2013,3.0,4.8
7 Dwarves: The Forest Is Not Enough,2006,44.0,4.9
7 Faces of Dr. Lao,1964,21.0,6.9
7 Golden Monks,1966,1.0,6.0
7 Hours of Violence,1973,1.0,3.5
7 Khoon Maaf,2011,17.0,5.9
7 Kilos in 7 Days,1986,42.0,5.9
7 Kocalı Hürmüz,2009,5.0,6.7
7 Minutes,2014,35.0,5.1
7 Nights Of Darkness,2011,11.0,4.2
7 Plus Seven,1970,20.0,7.5
7 Seconds,2005,51.0,4.3
7 Virgins,2005,7.0,6.6
7 Women,1966,13.0,5.7
7 Years,2006,1.0,5.0
7 Years,2016,40.0,6.1
7.2,2014,0.0,0.0
7/G Rainbow Colony,2004,5.0,6.0
700 Sundays,2014,1.0,8.0
71 Fragments of a Chronology of Chance,1994,31.0,7.0
711 Ocean Drive,1950,8.0,6.1
713-й просит посадку,1961,1.0,1.0
71: Into the Fire,2010,38.0,7.0
72 Meters,2004,8.0,5.3
72 Tenants of Prosperity,2010,8.0,5.6
78/52,2017,4.0,0.0
7:19,2016,7.0,6.7
7:35 in the Morning,2003,12.0,6.9
7Aum Arivu,2011,10.0,6.6
7eventy 5ive,2007,18.0,4.8
7th Cavalry,1956,4.0,5.8
7th Heaven,1927,22.0,6.9
8,2008,0.0,0.0
8,2010,2.0,7.0
8,2012,1.0,7.0
8 Dates,2008,1.0,2.0
8 Days to Premiere,2008,2.0,5.0
8 First Dates,2012,12.0,7.3
8 Heads in a Duffel Bag,1997,39.0,5.4
8 Mile,2002,1676.0,6.8
8 Million Ways to Die,1986,23.0,5.6
8 Minutes Idle,2012,7.0,5.4
8 New Dates,2015,9.0,6.4
8 Seconds,1994,22.0,7.2
8 Women,2002,197.0,6.9
8 X 10 Tasveer,2009,5.0,4.2
8 ½ Women,1999,14.0,6.3
8-Ball,2013,14.0,6.1
80 Million,2011,8.0,5.8
80 Minutes,2008,4.0,4.5
800 Bullets,2002,19.0,6.0
8213: Gacy House,2010,18.0,3.2
84 Charing Cross Road,1987,34.0,6.8
84C MoPic,1989,12.0,5.8
88,2015,40.0,5.1
88 Minutes,2007,323.0,5.7
8: The Mormon Proposition,2010,6.0,5.5
8:28 AM,2010,3.0,6.0
8:46,2011,4.0,6.5
8MM,1999,479.0,6.1
8MM 2,2005,28.0,4.1
8th Wonderland,2008,11.0,5.5
8½,1963,427.0,7.9
9,2005,74.0,7.4
9,2009,1291.0,6.6
9 Dalmuir West,1962,0.0,0.0
9 Dead Gay Guys,2003,11.0,5.1
9 Deaths of the Ninja,1985,9.0,6.1
9 Month Stretch,2013,147.0,6.3
9 Songs,2004,103.0,5.1
9 Souls,2003,14.0,6.8
9 Star Hotel,2007,0.0,0.0
9-Man,2014,0.0,0.0
9.79*,2012,4.0,8.9
9/11,2002,21.0,7.6
9/11: The Falling Man,2006,5.0,7.3
9/11: The Twin Towers,2006,1.0,8.0
90 Minutes,2012,5.0,4.9
90 Minutes in Heaven,2015,40.0,5.4
911 Nightmare,2016,2.0,2.5
911 in Plane Site,2004,5.0,8.0
95 Miles to Go,2006,0.0,0.0
9500 Liberty,2009,0.0,0.0
95ers: Time Runners,2013,24.0,4.2
96 Minutes,2011,28.0,5.6
964 Pinocchio,1991,9.0,5.9
97 Percent True,2008,0.0,0.0
976-EVIL,1988,33.0,4.9
976-Evil II,1992,14.0,4.3
977,2006,2.0,3.0
984: Prisoner of the Future,1982,0.0,0.0
99,2009,5.0,5.6
99 Homes,2014,240.0,6.8
99 River Street,1953,11.0,6.7
99 and 44/100% Dead,1974,1.0,3.0
99 francs,2007,211.0,6.4
9th Company,2005,65.0,6.8
9to5: Days in Porn,2008,18.0,6.1
@Suicide Room,2011,113.0,7.7
A,1998,0.0,0.0
A BIG Love Story,2012,4.0,5.5
A Bag of Hammers,2011,25.0,6.0
A Bag of Marbles,2017,100.0,7.8
A Ballerina's Tale,2015,18.0,6.0
A Band Called Death,2013,36.0,7.1
A Barefoot Dream,2010,4.0,7.3
A Bay of Blood,1971,53.0,6.4
A Beast at Bay,1912,1.0,5.0
A Beautiful Life,2008,0.0,0.0
A Beautiful Mind,2001,3087.0,7.7
A Beautiful Planet,2016,12.0,6.3
A Bee in the Rain,1972,3.0,6.2
A Beginner's Guide to Endings,2010,11.0,6.4
A Bela e o Paparazzo,2010,11.0,6.9
A Bell From Hell,1973,8.0,6.6
A Bell for Adano,1945,1.0,0.0
A Bell for Ursli,2015,3.0,7.5
A Better Life,2011,54.0,7.0
A Better Life,2012,42.0,6.0
A Better Place,1997,1.0,9.0
A Better Tomorrow,1986,102.0,7.3
A Better Tomorrow,2010,24.0,6.3
A Better Tomorrow II,1987,48.0,7.0
A Better Tomorrow III: Love and Death in Saigon,1989,14.0,6.2
A Better Way to Die,2000,8.0,5.8
A Big Hand for the Little Lady,1966,21.0,6.0
A Bigger Splash,2015,158.0,6.0
A Billion Lives,2016,6.0,9.5
A Bird of the Air,2011,7.0,5.5
A Birder's Guide to Everything,2013,19.0,6.5
A Bit of Bad Luck,2014,7.0,4.4
A Bittersweet Life,2005,170.0,7.5
A Black Ribbon for Deborah,1974,0.0,0.0
"A Black Rose Is an Emblem of Sorrow, a Red Rose an Emblem of Love",1989,4.0,6.5
A Black Veil for Lisa,1968,4.0,5.4
A Blade in the Dark,1983,20.0,6.0
A Blank on the Map,1971,0.0,0.0
A Blast,2014,5.0,5.5
A Blueprint for Murder,1953,7.0,5.4
A Body to Die For: The Aaron Henry Story,1994,0.0,0.0
A Borrowed Life,1994,1.0,5.0
A Bottle in the Gaza Sea,2011,14.0,7.0
A Boy Called Hate,1996,2.0,6.0
A Boy Named Charlie Brown,1969,23.0,5.9
A Boy and His Dog,1975,90.0,6.5
A Boy and His Samurai,2010,8.0,6.6
A Boy from Calabria,1987,3.0,6.5
A Boyfriend for My Wife,2008,18.0,6.2
A Brand New Life,2009,20.0,6.8
A Brave Heart: The Lizzie Velasquez Story,2015,4.0,8.3
A Breed Apart,1984,6.0,5.0
A Bride for Christmas,2012,17.0,5.6
A Bride for Rip Van Winkle,2016,11.0,6.7
A Bridge Too Far,1977,210.0,7.0
A Brief History of Time,1991,37.0,7.4
A Brief Season,1969,0.0,0.0
A Brief Vacation,1973,4.0,5.3
A Bright Shining Lie,1998,7.0,6.1
A Brighter Summer Day,1991,45.0,8.4
A Brilliant Madness,2002,0.0,0.0
A Bronx Tale,1993,447.0,7.4
A Brony Tale,2014,9.0,6.3
A Brooklyn State of Mind,1998,1.0,5.0
A Brother's Kiss,1997,1.0,8.0
A Bucket of Blood,1959,31.0,6.4
A Bucket of Blood,1995,3.0,4.3
A Buddha,2005,4.0,7.3
A Bug's Life,1998,2379.0,6.8
A Bullet for Joey,1955,5.0,5.2
A Bullet for Pretty Boy,1970,2.0,4.5
A Bullet for Sandoval,1969,0.0,0.0
A Bullet for a Stranger,1971,1.0,5.0
A Bullet for the General,1966,23.0,6.1
A Bunch of Amateurs,2008,6.0,6.2
A Bunny's Tale,1985,1.0,5.0
A Burning Hot Summer,2011,14.0,5.3
A Cab for Three,2001,3.0,6.8
A Cadaver Christmas,2011,8.0,6.1
A Canterbury Tale,1944,19.0,7.1
A Carol for Another Christmas,1964,3.0,4.3
A Case of You,2013,108.0,5.4
A Castle in Italy,2013,10.0,5.8
A Cat in Paris,2010,68.0,6.5
A Certain Kind of Death,2003,9.0,6.5
A Chairy Tale,1957,6.0,6.5
A Change of Heart,1998,0.0,0.0
A Charlie Brown Christmas,1965,156.0,7.5
A Chef in Love,1996,2.0,3.5
A Child Is Waiting,1963,15.0,6.1
A Child in the Crowd,1976,3.0,7.3
A Child's Christmas in Wales,1987,2.0,8.8
A Chinese Ghost Story,1987,59.0,7.2
A Chinese Ghost Story,2011,13.0,5.5
A Chinese Ghost Story II,1990,26.0,6.5
A Chinese Ghost Story III,1991,17.0,6.5
A Chinese in a Coma,2000,34.0,5.7
A Chorus Line,1985,37.0,6.1
A Christmas Carol,1938,34.0,7.0
A Christmas Carol,1977,3.0,5.0
A Christmas Carol,1984,42.0,7.1
A Christmas Carol,1997,9.0,5.7
A Christmas Carol,1999,42.0,6.3
A Christmas Carol,2004,5.0,6.2
A Christmas Carol,2009,1137.0,6.6
A Christmas Detour,2015,29.0,6.8
A Christmas Eve Miracle,2015,3.0,3.5
