title,release_date,budget,revenue,return,directores
Beautiful Girls,1996-02-09,0.0,0.0,0.0,Ted Demme
Broken Arrow,1996-02-09,50000000.0,150270147.0,3.00540294,John Woo
A Midwinter's Tale,1995-12-01,0.0,0.0,0.0,Kenneth Branagh
La Haine,1995-05-31,3000000.0,0.0,0.0,Mathieu Kassovitz
Shopping,1994-12-06,0.0,0.0,0.0,Paul W.S. Anderson
Heidi Fleiss: Hollywood Madam,1995-12-27,0.0,0.0,0.0,Nick Broomfield
City Hall,1996-02-16,0.0,0.0,0.0,Harold Becker
Bottle Rocket,1996-02-21,7000000.0,560069.0,0.0800098571428571,Wes Anderson
Mr. Wrong,1996-02-16,0.0,0.0,0.0,Nick Castle
Unforgettable,1996-02-23,18000000.0,0.0,0.0,John Dahl
Happy Gilmore,1996-02-16,12000000.0,41205099.0,3.43375825,Dennis Dugan
The Bridges of Madison County,1995-05-28,24000000.0,182016617.0,7.584025708333333,Clint Eastwood
Nobody Loves Me,1994-11-07,0.0,0.0,0.0,Doris Dörrie
Muppet Treasure Island,1996-02-16,0.0,34327391.0,0.0,Brian Henson
Catwalk,1995-12-08,0.0,0.0,0.0,Robert Leacock
Headless Body in Topless Bar,1995-05-20,0.0,0.0,0.0,James Bruce
Braveheart,1995-05-24,72000000.0,210000000.0,2.9166666666666665,Mel Gibson
Taxi Driver,1976-02-07,1300000.0,28262574.0,21.74044153846154,Martin Scorsese
Rumble in the Bronx,1995-01-30,7500000.0,32392047.0,4.3189396,Stanley Tong
Before and After,1996-02-23,35000000.0,0.0,0.0,Barbet Schroeder
Margaret's Museum,1995-09-13,0.0,0.0,0.0,Mort Ransen
Happiness Is in the Field,1995-01-31,13365000.0,0.0,0.0,Étienne Chatiliez
Anne Frank Remembered,1995-06-08,0.0,1.0,0.0,Jon Blair
The Young Poisoner's Handbook,1995-01-20,0.0,0.0,0.0,Benjamin Ross
If Lucy Fell,1996-03-08,0.0,0.0,0.0,Eric Schaeffer
Steal Big Steal Little,1995-09-29,25000000.0,6278139.0,0.25112556,Andrew Davis
Race the Sun,1996-03-22,0.0,0.0,0.0,Charles T. Kanganis
The Boys of St. Vincent,1992-12-06,0.0,0.0,0.0,John N. Smith
Boomerang,1992-06-30,40000000.0,70100000.0,1.7525,Reginald Hudlin
Chungking Express,1994-07-14,0.0,0.0,0.0,Wong Kar-wai
The Star Maker,1995-09-21,0.0,0.0,0.0,Giuseppe Tornatore
Flirting with Disaster,1996-03-22,7000000.0,14702438.0,2.100348285714286,David O. Russell
The Neverending Story III: Escape from Fantasia,1994-10-26,17000000.0,0.0,0.0,Peter MacDonald
The Silences of the Palace,1994-09-30,0.0,0.0,0.0,Moufida Tlatli
Jupiter's Wife,1995-01-01,0.0,0.0,0.0,Michel Negroponte
Pie in the Sky,1996-02-09,0.0,0.0,0.0,Bryan Gordon
Angela,1995-01-01,0.0,0.0,0.0,Rebecca Miller
Frankie Starlight,1995-11-22,0.0,0.0,0.0,Michael Lindsay-Hogg
Jade,1995-10-13,50000000.0,9851610.0,0.1970322,William Friedkin
Nueba Yol,1995-08-16,0.0,0.0,0.0,Ángel Muñiz
Sonic Outlaws,1995-08-01,0.0,0.0,0.0,Craig Baldwin
Down Periscope,1996-03-01,0.0,0.0,0.0,David S. Ward
From the Journals of Jean Seberg,1995-09-08,0.0,0.0,0.0,Mark Rappaport
Man of the Year,1995-09-15,0.0,209935.0,0.0,Dirk Shafer
The Neon Bible,1995-08-23,0.0,0.0,0.0,Terence Davies
Target,1995-08-01,0.0,0.0,0.0,Sandip Ray
Up Close & Personal,1996-03-01,60000000.0,0.0,0.0,Jon Avnet
The Birdcage,1996-03-08,31000000.0,185260553.0,5.976146870967742,Mike Nichols
Virgin Mary,1995-10-12,0.0,0.0,0.0,Jakov Sedlar
The Brothers McMullen,1995-08-09,0.0,0.0,0.0,Edward Burns
Bad Boys,1995-04-07,19000000.0,141407024.0,7.442474947368421,Michael Bay
The Amazing Panda Adventure,1995-08-25,0.0,0.0,0.0,Christopher Cain
The Basketball Diaries,1995-04-21,0.0,0.0,0.0,Scott Kalvert
An Awfully Big Adventure,1995-07-21,4000000.0,851545.0,0.21288625,Mike Newell
Amateur,1994-08-05,0.0,0.0,0.0,Hal Hartley
Apollo 13,1995-06-30,52000000.0,355237933.0,6.831498711538462,Ron Howard
Rob Roy,1995-04-13,28000000.0,31596911.0,1.1284611071428572,Michael Caton-Jones
The Addiction,1995-01-10,0.0,0.0,0.0,Abel Ferrara
Batman Forever,1995-06-16,100000000.0,336529144.0,3.36529144,Joel Schumacher
Belle de Jour,1967-05-24,0.0,0.0,0.0,Luis Buñuel
Beyond Rangoon,1995-05-24,0.0,0.0,0.0,John Boorman
Blue in the Face,1995-09-15,2000000.0,1275000.0,0.6375,Paul Auster
Blue in the Face,1995-09-15,2000000.0,1275000.0,0.6375,Wayne Wang
Canadian Bacon,1995-06-08,11000000.0,178104.0,0.0161912727272727,Michael Moore
Casper,1995-05-26,50000000.0,287928194.0,5.75856388,Brad Silberling
Clockers,1995-09-15,25000000.0,13071518.0,0.52286072,Spike Lee
Congo,1995-06-09,50000000.0,152022101.0,3.04044202,Frank Marshall
Crimson Tide,1995-05-12,53000000.0,157387195.0,2.969569716981132,Tony Scott
Crumb,1994-09-10,0.0,3174695.0,0.0,Terry Zwigoff
Desperado,1995-08-25,7000000.0,25405445.0,3.6293492857142855,Robert Rodriguez
Devil in a Blue Dress,1995-09-15,27000000.0,16140822.0,0.5978082222222222,Carl Franklin
Die Hard: With a Vengeance,1995-05-19,90000000.0,366101666.0,4.067796288888889,John McTiernan
The Doom Generation,1995-10-27,0.0,0.0,0.0,Gregg Araki
Feast of July,1995-10-12,0.0,0.0,0.0,Christopher Menaul
First Knight,1995-07-07,55000000.0,127600435.0,2.320007909090909,Jerry Zucker
Free Willy 2 - The Adventure Home,1995-07-19,0.0,0.0,0.0,Dwight H. Little
Hackers,1995-09-14,20000000.0,7563728.0,0.3781864,Iain Softley
Jeffrey,1995-08-18,0.0,0.0,0.0,Christopher Ashley
Johnny Mnemonic,1995-05-26,25000000.0,19075720.0,0.7630288,Robert Longo
Judge Dredd,1995-06-30,90000000.0,113493481.0,1.2610386777777778,Danny Cannon
Jury Duty,1995-04-12,0.0,17014653.0,0.0,John Fortenberry
Kids,1995-07-28,1500000.0,7412216.0,4.941477333333333,Larry Clark
Living in Oblivion,1995-01-20,500000.0,1148752.0,2.297504,Tom DiCillo
Lord of Illusions,1995-08-25,0.0,0.0,0.0,Clive Barker
Love & Human Remains,1993-05-20,0.0,0.0,0.0,Denys Arcand
Mad Love,1995-05-26,0.0,15453274.0,0.0,Antonia Bird
Mallrats,1995-10-20,6000000.0,2122561.0,0.3537601666666666,Kevin Smith
Mighty Morphin Power Rangers: The Movie,1995-06-30,15000000.0,66000000.0,4.4,Bryan Spicer
Moonlight and Valentino,1995-09-29,0.0,0.0,0.0,David Anspaugh
Mute Witness,1995-09-28,2.0,1.0,0.5,Anthony Waller
Nadja,1994-09-13,0.0,0.0,0.0,Michael Almereyda
The Net,1995-07-28,22000000.0,110627965.0,5.028543863636363,Irwin Winkler
Nine Months,1995-07-12,0.0,69660733.0,0.0,Chris Columbus
Party Girl,1995-06-09,150000.0,472370.0,3.1491333333333333,Daisy von Scherler Mayer
The Prophecy,1995-09-01,8.0,16.0,2.0,Gregory Widen
Reckless,1995-11-17,0.0,0.0,0.0,Norman René
Safe,1995-06-23,0.0,0.0,0.0,Todd Haynes
The Scarlet Letter,1995-10-13,50000000.0,10382407.0,0.20764814,Roland Joffé
The Show,1995-08-25,0.0,0.0,0.0,
Showgirls,1995-09-22,45000000.0,20350754.0,0.4522389777777778,Paul Verhoeven
Smoke,1995-06-09,7000000.0,8349430.0,1.1927757142857145,Paul Auster
Smoke,1995-06-09,7000000.0,8349430.0,1.1927757142857145,Wayne Wang
Something to Talk About,1995-08-04,0.0,50892160.0,0.0,Lasse Hallström
Species,1995-07-07,35000000.0,113374103.0,3.2392600857142857,Roger Donaldson
The Stars Fell on Henrietta,1995-09-15,0.0,0.0,0.0,James Keach
Strange Days,1995-10-13,42000000.0,7959291.0,0.1895069285714285,Kathryn Bigelow
The Umbrellas of Cherbourg,1964-02-19,0.0,0.0,0.0,Jacques Demy
The Tie That Binds,1995-09-08,14000000.0,5780000.0,0.4128571428571428,Wesley Strick
Three Wishes,1995-10-27,0.0,7025496.0,0.0,Martha Coolidge
Total Eclipse,1995-11-02,0.0,339889.0,0.0,Agnieszka Holland
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,0.0,47774193.0,0.0,Beeban Kidron
Under Siege 2: Dark Territory,1995-07-13,60000000.0,104324083.0,1.738734716666667,Geoff Murphy
Unstrung Heroes,1995-09-15,0.0,0.0,0.0,Diane Keaton
Unzipped,1995-08-11,0.0,0.0,0.0,Douglas Keeve
A Walk in the Clouds,1995-08-11,20000000.0,50012507.0,2.50062535,Alfonso Aráu
Waterworld,1995-07-28,175000000.0,264218220.0,1.5098184,Kevin Reynolds
White Man's Burden,1995-12-01,8000000.0,0.0,0.0,Desmond Nakano
Wild Bill,1995-12-01,30000000.0,0.0,0.0,Walter Hill
The Browning Version,1994-10-12,0.0,0.0,0.0,Mike Figgis
Bushwhacked,1995-08-04,0.0,0.0,0.0,Greg Beeman
Burnt by the Sun,1994-05-01,2800000.0,2616503.0,0.9344653571428572,Nikita Mikhalkov
Before the Rain,1994-06-09,0.0,763847.0,0.0,Milčo Mančevski
Before Sunrise,1995-01-27,2500000.0,5535405.0,2.214162,Richard Linklater
Billy Madison,1995-02-10,10000000.0,26488734.0,2.6488734,Tamra Davis
The Babysitter,1995-10-17,0.0,0.0,0.0,Guy Ferland
Boys on the Side,1995-02-03,21000000.0,23450000.0,1.1166666666666667,Herbert Ross
The Cure,1995-04-21,0.0,0.0,0.0,Peter Horton
Castle Freak,1995-08-04,0.0,0.0,0.0,Stuart Gordon
Circle of Friends,1995-03-16,0.0,0.0,0.0,Pat O'Connor
Clerks,1994-09-13,27000.0,3151130.0,116.70851851851852,Kevin Smith
Don Juan DeMarco,1994-10-01,25000000.0,22200000.0,0.888,Jeremy Leven
Disclosure,1994-12-09,55000000.0,214015089.0,3.891183436363636,Barry Levinson
Dream Man,1995-01-01,0.0,0.0,0.0,René Bonnière
Drop Zone,1994-12-08,45000000.0,0.0,0.0,John Badham
Destiny Turns on the Radio,1995-04-28,0.0,0.0,0.0,Jack Baran
Death and the Maiden,1994-05-04,0.0,0.0,0.0,Roman Polanski
Dolores Claiborne,1995-03-24,0.0,0.0,0.0,Taylor Hackford
Dumb and Dumber,1994-12-16,16000000.0,247275374.0,15.454710875,Bobby Farrelly
Dumb and Dumber,1994-12-16,16000000.0,247275374.0,15.454710875,Peter Farrelly
Eat Drink Man Woman,1994-08-03,0.0,7294403.0,0.0,Ang Lee
Exotica,1994-09-24,0.0,0.0,0.0,Atom Egoyan
Exit to Eden,1994-10-14,0.0,6841570.0,0.0,Garry Marshall
Ed Wood,1994-09-27,18000000.0,5887457.0,0.3270809444444444,Tim Burton
French Kiss,1995-05-05,0.0,0.0,0.0,Lawrence Kasdan
Forget Paris,1995-05-19,0.0,0.0,0.0,Billy Crystal
Far from Home: The Adventures of Yellow Dog,1995-01-13,0.0,0.0,0.0,Phillip Borsos
A Goofy Movie,1995-04-07,0.0,35348597.0,0.0,Kevin Lima
A Goofy Movie,1995-04-07,0.0,35348597.0,0.0,Paul Brizzi
Hideaway,1995-03-03,15000000.0,12201255.0,0.813417,Brett Leonard
Fluke,1995-06-02,0.0,0.0,0.0,Carlo Carlei
Farinelli,1994-12-07,0.0,0.0,0.0,Gérard Corbiau
Gordy,1995-05-12,0.0,3992809.0,0.0,Mark Lewis
Gumby: The Movie,1995-12-01,0.0,0.0,0.0,Art Clokey
The Glass Shield,1994-09-16,0.0,0.0,0.0,Charles Burnett
Hoop Dreams,1994-09-12,700000.0,7830611.0,11.186587142857142,Steve James
Heavenly Creatures,1994-09-02,5000000.0,3049135.0,0.609827,Peter Jackson
Houseguest,1995-01-06,10500000.0,26325256.0,2.507167238095238,Randall Miller
Immortal Beloved,1994-12-16,120.0,0.0,0.0,Bernard Rose
Heavyweights,1995-02-17,0.0,17689177.0,0.0,Steven Brill
The Hunted,1995-02-24,0.0,0.0,0.0,J. F. Lawton
I.Q.,1994-12-24,25000000.0,0.0,0.0,Fred Schepisi
Interview with the Vampire,1994-11-11,60000000.0,223664608.0,3.7277434666666656,Neil Jordan
Jefferson in Paris,1995-03-31,14000000.0,2474000.0,0.1767142857142857,James Ivory
The Jerky Boys,1995-02-03,0.0,0.0,0.0,James Melkonian
Junior,1994-11-22,60000000.0,37000000.0,0.6166666666666667,Ivan Reitman
Just Cause,1995-02-17,0.0,0.0,0.0,Arne Glimcher
A Kid in King Arthur's Court,1995-08-11,0.0,0.0,0.0,Michael Gottlieb
Kiss of Death,1995-04-21,40000000.0,0.0,0.0,Barbet Schroeder
Star Wars,1977-05-25,11000000.0,775398007.0,70.49072790909091,George Lucas
Little Women,1994-12-21,18000000.0,0.0,0.0,Gillian Armstrong
A Little Princess,1995-05-10,17000000.0,0.0,0.0,Alfonso Cuarón
Ladybird Ladybird,1994-02-18,0.0,0.0,0.0,Ken Loach
L'Enfer,1994-02-16,10000000.0,0.0,0.0,Claude Chabrol
Like Water for Chocolate,1992-04-16,2000000.0,21665468.0,10.832734,Alfonso Aráu
Legends of the Fall,1994-12-16,30000000.0,160638883.0,5.354629433333334,Edward Zwick
Major Payne,1995-03-24,0.0,0.0,0.0,Nick Castle
Little Odessa,1994-10-27,0.0,0.0,0.0,James Gray
Mi Vida Loca,1994-06-08,0.0,0.0,0.0,Allison Anders
Love Affair,1994-10-21,60000000.0,0.0,0.0,Glenn Gordon Caron
Losing Isaiah,1995-03-17,17000000.0,7603766.0,0.4472803529411764,Stephen Gyllenhaal
The Madness of King George,1994-12-28,0.0,0.0,0.0,Nicholas Hytner
Mary Shelley's Frankenstein,1994-11-04,45000000.0,112006296.0,2.4890288,Kenneth Branagh
Man of the House,1995-03-03,0.0,0.0,0.0,James Orr
Mixed Nuts,1994-12-21,15000000.0,0.0,0.0,Nora Ephron
Milk Money,1994-08-31,0.0,18137661.0,0.0,Richard Benjamin
Miracle on 34th Street,1994-11-18,0.0,46264384.0,0.0,Les Mayfield
Miami Rhapsody,1995-01-27,6.0,5.0,0.8333333333333334,David Frankel
My Family,1995-05-03,5500000.0,0.0,0.0,Gregory Nava
Murder in the First,1995-01-20,0.0,17381942.0,0.0,Marc Rocco
Nobody's Fool,1994-12-23,0.0,0.0,0.0,Robert Benton
Nell,1994-12-23,31000000.0,106683817.0,3.441413451612904,Michael Apted
New Jersey Drive,1995-04-19,0.0,0.0,0.0,Nick Gomez
New York Cop,1993-08-14,0.0,0.0,0.0,Tōru Murakawa
Beyond Bedlam,1994-04-22,4800000.0,0.0,0.0,Vadim Jean
Nemesis 2 - Nebula,1995-09-26,0.0,0.0,0.0,Albert Pyun
Nina Takes a Lover,1995-03-03,0.0,0.0,0.0,Alan Jacobs
Natural Born Killers,1994-08-25,34000000.0,50282766.0,1.4789048823529412,Oliver Stone
Only You,1994-09-17,0.0,0.0,0.0,Norman Jewison
Once Were Warriors,1994-09-02,0.0,2201126.0,0.0,Lee Tamahori
Poison Ivy II: Lily,1996-01-16,0.0,0.0,0.0,Anne Goursaud
Outbreak,1995-03-10,50000000.0,189859560.0,3.7971912,Wolfgang Petersen
Leon: The Professional,1994-09-14,16000000.0,45284974.0,2.830310875,Luc Besson
The Perez Family,1995-05-12,11000000.0,2832826.0,0.2575296363636363,Mira Nair
A Pyromaniac's Love Story,1995-04-28,0.0,0.0,0.0,Joshua Brand
Pulp Fiction,1994-09-10,8000000.0,213928762.0,26.74109525,Quentin Tarantino
Panther,1995-11-10,0.0,6834525.0,0.0,Mario Van Peebles
Pushing Hands,1992-02-01,400000.0,152322.0,0.380805,Ang Lee
Priest,1994-01-01,0.0,4176932.0,0.0,Antonia Bird
Quiz Show,1994-09-16,0.0,0.0,0.0,Robert Redford
Picture Bride,1995-05-05,0.0,0.0,0.0,Kayo Hatta
Queen Margot,1994-05-13,0.0,0.0,0.0,Patrice Chéreau
The Quick and the Dead,1995-02-09,32000000.0,18552460.0,0.579764375,Sam Raimi
Roommates,1995-03-01,22000000.0,12400000.0,0.5636363636363636,Peter Yates
Prêt-à-Porter,1994-12-23,15000000.0,11300653.0,0.7533768666666667,Robert Altman
Three Colors: Red,1994-05-27,0.0,0.0,0.0,Krzysztof Kieślowski
Three Colors: Blue,1993-01-10,0.0,0.0,0.0,Krzysztof Kieślowski
Three Colors: White,1994-01-26,0.0,0.0,0.0,Krzysztof Kieślowski
"Red Firecracker, Green Firecracker",1994-10-14,0.0,0.0,0.0,He Ping
Rent-a-Kid,1995-01-01,0.0,0.0,0.0,Fred Gerber
Relative Fear,1995-10-03,0.0,0.0,0.0,George Mihalka
Stuart Saves His Family,1995-04-12,0.0,0.0,0.0,Harold Ramis
The Swan Princess,1994-11-18,35000000.0,9771658.0,0.2791902285714285,Richard Rich
The Secret of Roan Inish,1994-01-01,0.0,0.0,0.0,John Sayles
The Specialist,1994-10-07,45000000.0,170362582.0,3.785835155555556,Luis Llosa
Stargate,1994-10-27,55000000.0,196567262.0,3.5739502181818184,Roland Emmerich
The Santa Clause,1994-11-10,22000000.0,189833357.0,8.628788954545454,John Pasquin
The Shawshank Redemption,1994-09-23,25000000.0,28341469.0,1.13365876,Frank Darabont
Shallow Grave,1994-12-22,0.0,0.0,0.0,Danny Boyle
Suture,1993-09-14,0.0,102780.0,0.0,David Siegel
Suture,1993-09-14,0.0,102780.0,0.0,Scott McGehee
Strawberry and Chocolate,1993-01-01,0.0,0.0,0.0,Tomás Gutiérrez Alea
Strawberry and Chocolate,1993-01-01,0.0,0.0,0.0,Juan Carlos Tabío
Swimming with Sharks,1994-09-10,0.0,0.0,0.0,George Huang
The Sum of Us,1994-07-12,32.0,0.0,0.0,Geoff Burton
The Sum of Us,1994-07-12,32.0,0.0,0.0,Kevin Dowling
Senior Trip,1995-09-08,0.0,0.0,0.0,Kelly Makin
To Live,1994-06-30,0.0,0.0,0.0,Zhang Yimou
Tank Girl,1995-03-31,25000000.0,4064495.0,0.1625798,Rachel Talalay
Tales from the Crypt: Demon Knight,1995-01-13,0.0,0.0,0.0,Ernest R. Dickerson
Star Trek: Generations,1994-11-17,38000000.0,120000000.0,3.1578947368421053,David Carson
Tales from the Hood,1995-05-24,6000000.0,12000000.0,2.0,Rusty Cundieff
Tom & Viv,1994-04-15,0.0,0.0,0.0,Brian Gilbert
Village of the Damned,1995-04-28,0.0,0.0,0.0,John Carpenter
Tommy Boy,1995-03-31,0.0,32648673.0,0.0,Peter Segal
Vanya on 42nd Street,1994-09-13,0.0,0.0,0.0,Louis Malle
The Underneath,1995-04-28,6500000.0,0.0,0.0,Steven Soderbergh
The Walking Dead,1995-02-24,0.0,0.0,0.0,Preston A. Whitmore II
What's Eating Gilbert Grape,1993-12-17,11000000.0,10032765.0,0.9120695454545454,Lasse Hallström
Virtuosity,1995-08-04,30000000.0,24048000.0,0.8016,Brett Leonard
While You Were Sleeping,1995-04-21,17000000.0,182057016.0,10.709236235294116,Jon Turteltaub
The War,1994-11-04,0.0,0.0,0.0,Jon Avnet
Double Happiness,1994-09-07,0.0,759393.0,0.0,Mina Shum
Muriel's Wedding,1994-09-29,3000000.0,15119639.0,5.039879666666667,P.J. Hogan
The Baby-Sitters Club,1995-08-18,0.0,0.0,0.0,Melanie Mayron
Ace Ventura: Pet Detective,1994-02-04,15000000.0,107217396.0,7.1478264,Tom Shadyac
"The Adventures of Priscilla, Queen of the Desert",1994-05-31,0.0,11220670.0,0.0,Stephan Elliott
Backbeat,1994-04-01,0.0,0.0,0.0,Iain Softley
Bitter Moon,1992-09-02,5000000.0,1862805.0,0.372561,Roman Polanski
Bullets Over Broadway,1994-10-14,0.0,0.0,0.0,Woody Allen
Clear and Present Danger,1994-08-03,62000000.0,215887717.0,3.482059951612903,Phillip Noyce
