release_date,title
1996-01-26,Once Upon a Time... When We Were Colored
1995-11-22,Last Summer in the Hamptons
1995-09-10,Angels and Insects
1996-02-02,White Squall
1996-01-12,Dunston Checks In
1996-02-01,Black Sheep
1995-11-22,Nick of Time
1995-09-14,The Journey of August King
1996-02-23,Mary Reilly
1995-10-26,Vampire in Brooklyn
1996-02-09,Beautiful Girls
1996-02-09,Broken Arrow
1995-12-01,A Midwinter's Tale
1995-05-31,La Haine
1994-12-06,Shopping
1995-12-27,Heidi Fleiss: Hollywood Madam
1996-02-16,City Hall
1996-02-21,Bottle Rocket
1996-02-16,Mr. Wrong
1996-02-23,Unforgettable
1996-02-16,Happy Gilmore
1995-05-28,The Bridges of Madison County
1994-11-07,Nobody Loves Me
1996-02-16,Muppet Treasure Island
1995-12-08,Catwalk
1995-05-20,Headless Body in Topless Bar
1995-05-24,Braveheart
1976-02-07,Taxi Driver
1995-01-30,Rumble in the Bronx
1996-02-23,Before and After
1995-09-13,Margaret's Museum
1995-01-31,Happiness Is in the Field
1995-06-08,Anne Frank Remembered
1995-01-20,The Young Poisoner's Handbook
1996-03-08,If Lucy Fell
1995-09-29,Steal Big Steal Little
1996-03-22,Race the Sun
1992-12-06,The Boys of St. Vincent
1992-06-30,Boomerang
1994-07-14,Chungking Express
1995-09-21,The Star Maker
1996-03-22,Flirting with Disaster
1994-10-26,The Neverending Story III: Escape from Fantasia
1994-09-30,The Silences of the Palace
1995-01-01,Jupiter's Wife
1996-02-09,Pie in the Sky
1995-01-01,Angela
1995-11-22,Frankie Starlight
1995-10-13,Jade
1995-08-16,Nueba Yol
1995-08-01,Sonic Outlaws
1996-03-01,Down Periscope
1995-09-08,From the Journals of Jean Seberg
1995-09-15,Man of the Year
1995-08-23,The Neon Bible
1995-08-01,Target
1996-03-01,Up Close & Personal
1996-03-08,The Birdcage
1995-10-12,Virgin Mary
1995-08-09,The Brothers McMullen
1995-04-07,Bad Boys
1995-08-25,The Amazing Panda Adventure
1995-04-21,The Basketball Diaries
1995-07-21,An Awfully Big Adventure
1994-08-05,Amateur
1995-06-30,Apollo 13
1995-04-13,Rob Roy
1995-01-10,The Addiction
1995-06-16,Batman Forever
1967-05-24,Belle de Jour
1995-05-24,Beyond Rangoon
1995-09-15,Blue in the Face
1995-06-08,Canadian Bacon
1995-05-26,Casper
1995-09-15,Clockers
1995-06-09,Congo
1995-05-12,Crimson Tide
1994-09-10,Crumb
1995-08-25,Desperado
1995-09-15,Devil in a Blue Dress
1995-05-19,Die Hard: With a Vengeance
1995-10-27,The Doom Generation
1995-10-12,Feast of July
1995-07-07,First Knight
1995-07-19,Free Willy 2 - The Adventure Home
1995-09-14,Hackers
1995-08-18,Jeffrey
1995-05-26,Johnny Mnemonic
1995-06-30,Judge Dredd
1995-04-12,Jury Duty
1995-07-28,Kids
1995-01-20,Living in Oblivion
1995-08-25,Lord of Illusions
1993-05-20,Love & Human Remains
1995-05-26,Mad Love
1995-10-20,Mallrats
1995-06-30,Mighty Morphin Power Rangers: The Movie
1995-09-29,Moonlight and Valentino
1995-09-28,Mute Witness
1994-09-13,Nadja
1995-07-28,The Net
1995-07-12,Nine Months
1995-06-09,Party Girl
1995-09-01,The Prophecy
1995-11-17,Reckless
1995-06-23,Safe
1995-10-13,The Scarlet Letter
1995-08-25,The Show
1995-09-22,Showgirls
1995-06-09,Smoke
1995-08-04,Something to Talk About
1995-07-07,Species
1995-09-15,The Stars Fell on Henrietta
1995-10-13,Strange Days
1964-02-19,The Umbrellas of Cherbourg
1995-09-08,The Tie That Binds
1995-10-27,Three Wishes
1995-11-02,Total Eclipse
1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar"
1995-07-13,Under Siege 2: Dark Territory
1995-09-15,Unstrung Heroes
1995-08-11,Unzipped
1995-08-11,A Walk in the Clouds
1995-07-28,Waterworld
1995-12-01,White Man's Burden
1995-12-01,Wild Bill
1994-10-12,The Browning Version
1995-08-04,Bushwhacked
1994-05-01,Burnt by the Sun
1994-06-09,Before the Rain
1995-01-27,Before Sunrise
1995-02-10,Billy Madison
1995-10-17,The Babysitter
1995-02-03,Boys on the Side
1995-04-21,The Cure
1995-08-04,Castle Freak
1995-03-16,Circle of Friends
1994-09-13,Clerks
1994-10-01,Don Juan DeMarco
1994-12-09,Disclosure
1995-01-01,Dream Man
1994-12-08,Drop Zone
1995-04-28,Destiny Turns on the Radio
1994-05-04,Death and the Maiden
1995-03-24,Dolores Claiborne
1994-12-16,Dumb and Dumber
1994-08-03,Eat Drink Man Woman
1994-09-24,Exotica
1994-10-14,Exit to Eden
1994-09-27,Ed Wood
1995-05-05,French Kiss
1995-05-19,Forget Paris
1995-01-13,Far from Home: The Adventures of Yellow Dog
1995-04-07,A Goofy Movie
1995-03-03,Hideaway
1995-06-02,Fluke
1994-12-07,Farinelli
1995-05-12,Gordy
1995-12-01,Gumby: The Movie
1994-09-16,The Glass Shield
1994-09-12,Hoop Dreams
1994-09-02,Heavenly Creatures
1995-01-06,Houseguest
1994-12-16,Immortal Beloved
1995-02-17,Heavyweights
1995-02-24,The Hunted
1994-12-24,I.Q.
1994-11-11,Interview with the Vampire
1995-03-31,Jefferson in Paris
1995-02-03,The Jerky Boys
1994-11-22,Junior
1995-02-17,Just Cause
1995-08-11,A Kid in King Arthur's Court
1995-04-21,Kiss of Death
1977-05-25,Star Wars
1994-12-21,Little Women
1995-05-10,A Little Princess
1994-02-18,Ladybird Ladybird
1994-02-16,L'Enfer
1992-04-16,Like Water for Chocolate
1994-12-16,Legends of the Fall
1995-03-24,Major Payne
1994-10-27,Little Odessa
1994-06-08,Mi Vida Loca
1994-10-21,Love Affair
1995-03-17,Losing Isaiah
1994-12-28,The Madness of King George
1994-11-04,Mary Shelley's Frankenstein
1995-03-03,Man of the House
1994-12-21,Mixed Nuts
1994-08-31,Milk Money
1994-11-18,Miracle on 34th Street
1995-01-27,Miami Rhapsody
1995-05-03,My Family
1995-01-20,Murder in the First
1994-12-23,Nobody's Fool
1994-12-23,Nell
1995-04-19,New Jersey Drive
1993-08-14,New York Cop
1994-04-22,Beyond Bedlam
1995-09-26,Nemesis 2 - Nebula
1995-03-03,Nina Takes a Lover
1994-08-25,Natural Born Killers
1994-09-17,Only You
1994-09-02,Once Were Warriors
1996-01-16,Poison Ivy II: Lily
1995-03-10,Outbreak
1994-09-14,Leon: The Professional
1995-05-12,The Perez Family
1995-04-28,A Pyromaniac's Love Story
1994-09-10,Pulp Fiction
1995-11-10,Panther
1992-02-01,Pushing Hands
1994-01-01,Priest
1994-09-16,Quiz Show
1995-05-05,Picture Bride
1994-05-13,Queen Margot
1995-02-09,The Quick and the Dead
1995-03-01,Roommates
1994-12-23,Prêt-à-Porter
1994-05-27,Three Colors: Red
1993-01-10,Three Colors: Blue
1994-01-26,Three Colors: White
1994-10-14,"Red Firecracker, Green Firecracker"
1995-01-01,Rent-a-Kid
1995-10-03,Relative Fear
1995-04-12,Stuart Saves His Family
1994-11-18,The Swan Princess
1994-01-01,The Secret of Roan Inish
1994-10-07,The Specialist
1994-10-27,Stargate
1994-11-10,The Santa Clause
1994-09-23,The Shawshank Redemption
1994-12-22,Shallow Grave
1993-09-14,Suture
1993-01-01,Strawberry and Chocolate
1994-09-10,Swimming with Sharks
1994-07-12,The Sum of Us
1995-09-08,Senior Trip
1994-06-30,To Live
1995-03-31,Tank Girl
1995-01-13,Tales from the Crypt: Demon Knight
1994-11-17,Star Trek: Generations
1995-05-24,Tales from the Hood
1994-04-15,Tom & Viv
1995-04-28,Village of the Damned
1995-03-31,Tommy Boy
1994-09-13,Vanya on 42nd Street
1995-04-28,The Underneath
1995-02-24,The Walking Dead
1993-12-17,What's Eating Gilbert Grape
1995-08-04,Virtuosity
1995-04-21,While You Were Sleeping
1994-11-04,The War
1994-09-07,Double Happiness
1994-09-29,Muriel's Wedding
1995-08-18,The Baby-Sitters Club
1994-02-04,Ace Ventura: Pet Detective
1994-05-31,"The Adventures of Priscilla, Queen of the Desert"
1994-04-01,Backbeat
1992-09-02,Bitter Moon
1994-10-14,Bullets Over Broadway
1994-08-03,Clear and Present Danger
1994-07-20,The Client
1994-08-12,"Corrina, Corrina"
1994-05-13,Crooklyn
1994-05-11,The Crow
1994-12-02,Cobb
1994-05-26,The Flintstones
1994-07-06,Forrest Gump
1994-03-09,Four Weddings and a Funeral
1995-01-11,Higher Learning
1994-10-14,I Like It Like That
1994-06-29,I Love Trouble
1994-07-29,It Could Happen to You
1994-12-23,The Jungle Book
1993-09-11,"The Wonderful, Horrible Life of Leni Riefenstahl"
1994-06-23,The Lion King
1993-12-01,Little Buddha
1994-10-13,New Nightmare
1994-07-29,The Mask
1994-05-20,Maverick
1994-09-07,Mrs. Parker and the Vicious Circle
1994-03-18,The Naked Gun 33⅓: The Final Insult
1994-03-18,The Paper
1994-02-18,Reality Bites
1993-07-08,Red Rock West
1994-12-19,Ri¢hie Ri¢h
1994-12-01,Safe Passage
1994-09-30,The River Wild
1994-06-09,Speed
1994-12-16,Speechless
1994-09-15,Timecop
1994-07-14,True Lies
1994-04-29,When a Man Loves a Woman
1994-06-17,Wolf
1994-06-24,Wyatt Earp
1995-01-20,Bad Company
1994-12-22,A Man of No Importance
1994-09-15,S.F.W.
1994-11-23,A Low Down Dirty Shame
1994-09-30,"Boys Life: Three Stories of Love, Lust, and Liberation"
1994-01-01,Colonel Chabert
1965-08-06,"Faster, Pussycat! Kill! Kill!"
1994-09-28,Jason's Lyric
1993-12-10,The Secret Adventures of Tom Thumb
1994-12-22,Street Fighter
1995-09-15,Coldblooded
1997-12-31,Desert Winds
1995-05-13,Fall Time
1995-01-20,The Fear
1995-10-20,Frank and Ollie
1995-10-24,Girl in the Cadillac
1995-05-03,Homage
1995-11-21,Mirage
1996-05-03,Open Season
1995-05-26,Dos Crímenes
1995-03-01,Brother Minister: The Assassination of Malcolm X
1994-11-29,Highlander: The Final Dimension
1995-02-24,Federal Hill
1994-12-12,In the Mouth of Madness
1994-02-25,8 Seconds
1994-03-23,Above the Rim
1993-11-19,Addams Family Values
1994-04-27,Martin Lawrence: You So Crazy
1993-09-17,The Age of Innocence
1994-08-05,Airheads
1994-01-07,The Air Up There
1993-07-22,Another Stakeout
1994-04-22,Bad Girls
1994-07-29,Barcelona
1994-05-06,Being Human
1993-10-15,The Beverly Hillbillies
1994-05-24,Beverly Hills Cop III
1994-07-29,Black Beauty
1994-01-26,Blink
1994-07-01,Blown Away
1994-02-18,Blue Chips
1994-09-16,Blue Sky
1993-06-09,Body Snatchers
1993-06-18,Boxing Helena
1993-09-14,A Bronx Tale
1994-01-07,Cabin Boy
1993-09-03,Calendar Girl
1993-11-10,Carlito's Way
1994-06-10,City Slickers II: The Legend of Curly's Gold
1994-05-06,Clean Slate
1993-05-28,Cliffhanger
1993-07-23,Coneheads
1994-08-19,Color of Night
1994-04-15,Cops & Robbersons
1994-06-03,The Cowboy Way
1993-11-19,Dangerous Game
1993-05-07,Dave
1993-09-24,Dazed and Confused
1993-10-08,Demolition Man
1994-06-03,The Endless Summer 2
1994-05-13,Even Cowgirls Get the Blues
1993-10-29,Fatal Instinct
1993-09-16,Farewell My Concubine
1994-04-29,The Favor
1993-10-15,Fearless
1994-10-28,Fear of a Black Hat
1994-04-29,With Honors
1993-11-05,Flesh and Bone
1994-05-13,Widows' Peak
1993-10-01,For Love or Money
1993-06-30,The Firm
1993-07-16,Free Willy
1994-08-24,Fresh
1993-08-06,The Fugitive
1993-12-10,Geronimo: An American Legend
1994-02-11,The Getaway
1994-06-17,Getting Even with Dad
1994-06-10,Go Fish
1994-07-14,A Good Man in Africa
1993-06-04,Guilty as Sin
1993-08-20,Hard Target
1993-12-24,Heaven & Earth
1993-05-21,Hot Shots! Part Deux
1995-12-08,Live Nude Girls
1995-05-12,The Englishman Who Went Up a Hill But Came Down a Mountain
1993-10-19,The House of the Spirits
1994-01-01,House Party 3
1994-03-11,The Hudsucker Proxy
1994-02-04,I'll Do Anything
1994-08-12,In the Army Now
1993-07-08,In the Line of Fire
1993-12-12,In the Name of the Father
1994-04-22,The Inkwell
1993-06-09,What's Love Got to Do with It
1994-03-30,Jimmy Hollywood
1993-10-15,Judgment Night
1993-06-11,Jurassic Park
1993-09-01,Kalifornia
1993-10-01,Killing Zoe
1993-08-20,King of the Hill
1994-07-22,Lassie
1993-06-18,Last Action Hero
1993-06-04,Life With Mikey
1994-03-11,Lightning Jack
1993-09-09,M. Butterfly
1993-05-27,Made in America
1993-09-29,Malice
1993-08-25,The Man without a Face
1993-08-18,Manhattan Murder Mystery
1993-05-26,Menace II Society
1996-03-15,Executive Decision
1976-05-15,In the Realm of the Senses
1994-09-09,What Happened Was...
1993-05-07,Much Ado About Nothing
1993-10-08,Mr. Jones
1993-10-15,Mr. Wonderful
1993-11-24,Mrs. Doubtfire
1993-09-14,Naked
1994-07-18,The Next Karate Kid
1994-09-16,The New Age
1994-04-29,No Escape
1994-07-22,North
1992-09-01,Orlando
1993-11-24,A Perfect World
1993-12-22,Philadelphia
1993-05-19,The Piano
1993-07-23,Poetic Justice
1993-09-24,The Program
1994-10-21,The Puppet Masters
1994-10-21,Radioland Murders
1994-03-09,The Ref
1993-11-05,The Remains of the Day
1994-06-03,Renaissance Man
1993-07-30,Rising Sun
1994-10-28,The Road to Wellville
1993-04-17,RoboCop 3
1993-07-28,Robin Hood: Men in Tights
1993-09-13,Romeo Is Bleeding
1992-03-05,Romper Stomper
1993-10-08,Ruby in Paradise
1993-09-17,Rudy
1993-11-03,The Saint of Fort Washington
1992-08-19,Savage Nights
1993-11-29,Schindler's List
1994-09-30,The Scout
1993-08-13,Searching for Bobby Fischer
1994-09-30,Second Best
1993-08-13,The Secret Garden
1994-04-13,Serial Mom
1994-07-01,The Shadow
1993-12-25,Shadowlands
1993-09-05,Short Cuts
1994-09-02,A Simple Twist of Fate
1993-10-01,Sirens
1993-12-08,Six Degrees of Separation
1993-06-24,Sleepless in Seattle
1993-05-21,Sliver
1982-06-25,Blade Runner
1993-07-02,Son in Law
1993-07-30,So I Married an Axe Murderer
1993-09-17,Striking Distance
1985-11-20,Harem
1993-05-28,Super Mario Bros.
1994-04-15,Surviving the Game
1994-09-23,Terminal Velocity
1993-11-26,Thirty Two Short Films About Glenn Gould
1994-04-08,Threesome
1993-10-09,The Nightmare Before Christmas
1993-11-11,The Three Musketeers
1993-12-25,Tombstone
1994-09-09,Trial by Jury
1993-09-09,True Romance
1993-12-05,The War Room
1994-11-23,The Pagemaster
1994-02-04,"Paris, France"
1994-01-01,"The Beans of Egypt, Maine"
1994-09-14,Killer
1995-05-24,Welcome to the Dollhouse
1993-09-29,Germinal
1994-04-22,Chasers
1993-09-12,Cronos
1993-11-10,Naked in New York
1993-10-28,Kika
1994-01-21,Bhaji on the Beach
1994-06-29,Little Big League
1993-09-24,The Slingshot
1993-09-05,Wide Eyed and Legless
1994-07-29,Foreign Student
1992-10-01,"Ciao, Professore!"
1994-01-15,Spanking the Monkey
1994-08-05,The Little Rascals
1993-09-10,À la mode
1994-08-17,Andre
1993-01-01,The Escort
1994-09-16,Princess Caraboo
1996-01-30,The Celluloid Closet
1993-01-01,Café au Lait
1993-10-12,Dear Diary
1993-05-20,I Don't Want to Talk About It
1995-02-16,The Brady Bunch Movie
1990-11-09,Home Alone
1990-07-12,Ghost
1992-11-25,Aladdin
1991-07-01,Terminator 2: Judgment Day
1990-11-09,Dances with Wolves
1995-02-14,Tough and Deadly
1989-06-23,Batman
1991-02-01,The Silence of the Lambs
1937-12-20,Snow White and the Seven Dwarfs
1991-11-13,Beauty and the Beast
1940-02-23,Pinocchio
1990-03-23,Pretty Woman
1993-12-01,Window to Paris
1969-06-17,The Wild Bunch
1994-11-23,Love and a .45
1994-02-05,The Wooden Man's Bride
1994-09-27,A Great Day in Harlem
1995-03-16,Bye Bye Love
1996-12-20,One Fine Day
1995-03-17,Candyman: Farewell to the Flesh
1993-12-31,Century
1996-04-05,Fargo
1996-03-08,Homeward Bound II: Lost in San Francisco
1981-08-07,Heavy Metal
1996-03-08,Hellraiser: Bloodline
1996-05-03,The Pallbearer
1996-02-09,Jane Eyre
1996-04-12,Loaded
1974-05-05,Bread and Chocolate
1970-12-23,The Aristocats
1995-09-22,The Flower of My Secret
1996-02-14,Two Much
1996-03-15,Ed
1991-01-01,Scream of Stone
1993-05-14,My Favorite Season
1996-09-06,A Modern Affair
1995-12-08,Condition Red
1990-01-01,Halfaouine: Boy of the Terraces
1996-04-04,A Thin Line Between Love and Hate
1995-09-08,The Last Supper
1996-04-03,Primal Fear
1995-09-08,Rude
1996-01-26,Carried Away
1996-03-29,All Dogs Go to Heaven 2
1995-01-01,Land and Freedom
1995-05-17,Denise Calls Up
1995-12-14,Theodore Rex
1996-03-29,A Family Thing
1996-03-22,Frisk
1996-03-29,Sgt. Bilko
1995-06-02,Jack & Sarah
1996-03-22,Girl 6
1996-03-22,Diabolique
1994-12-14,"Little Indian, Big City"
1995-09-11,Roula
1996-03-21,Peanuts – Die Bank zahlt alles
1996-03-14,Happy Weekend
1996-04-12,Nelly and Monsieur Arnaud
1996-07-04,Courage Under Fire
1996-05-22,Mission: Impossible
1995-02-10,Cold Fever
1996-06-14,Moll Flanders
1996-03-06,The Superwife
1995-04-22,"301, 302"
1996-05-31,DragonHeart
1996-02-29,Und keiner weint mir nach
1995-09-12,My Mother's Courage
1996-05-31,Eddie
1993-12-01,Yankee Zulu
1995-07-26,Billy's Holiday
1960-03-10,Purple Noon
1996-08-08,August
1996-04-12,James and the Giant Peach
1996-04-12,Fear
1996-04-02,Kids in the Hall: Brain Candy
1996-04-03,Faithful
1995-04-11,Underground
1995-03-08,All Things Fair
1996-03-01,Bloodsport II
1955-08-26,Pather Panchali
1959-05-01,The World of Apu
1996-04-19,Mystery Science Theater 3000: The Movie
1996-03-15,Tarantella
1996-11-15,Space Jam
1968-10-10,Barbarella
1995-01-01,Hostile Intentions
1996-01-01,They Bite
1994-03-26,Some Folks Call It a Sling Blade
1995-09-22,The Run of the Country
1965-05-05,Alphaville
1981-11-04,Coup de Torchon
1994-01-01,Tigrero: A Film That Was Never Made
1993-05-20,The Eye of Vichy
1980-01-18,Windows
1996-03-22,It's My Party
1994-10-27,Country Life
1995-07-28,Operation Dumbo Drop
1995-02-16,The Promise
1996-04-19,Mrs. Winterbourne
1996-10-23,Solo
1994-01-01,Under The Domim Tree
1996-04-19,The Substitute
1996-03-12,True Crime
1995-08-18,Butterfly Kiss
1996-09-13,Feeling Minnesota
1995-06-09,Delta of Venus
1991-01-01,To Cross the Rubicon
1995-09-15,Angus
1992-09-01,Priest Daens
1968-11-24,Faces
1996-05-10,Boys
1996-04-19,The Quest
1996-03-04,Cosi
1996-04-26,Sunset Park
1996-04-26,Mulholland Falls
1996-04-26,The Truth About Cats & Dogs
1988-11-18,Oliver & Company
1996-04-19,Celtic Pride
1996-05-17,Flipper
1994-05-03,Captives
1994-05-10,Of Love and Shadows
1995-12-23,Dead Man
1995-09-20,The Horseman on the Roof
1975-01-05,Switchblade Sisters
1995-11-10,Mouth to Mouth
1993-01-27,The Visitors
1996-07-19,Multiplicity
1996-05-01,"The Haunted World of Edward D. Wood, Jr."
2002-03-20,Two Friends
1996-05-03,The Craft
1996-05-03,The Great White Hype
1996-05-02,Last Dance
1995-01-01,Cold Comfort Farm
1995-08-01,"Institute Benjamenta, or This Dream People Call Human Life"
1996-05-17,Heaven's Prisoners
1996-05-10,Original Gangstas
1996-06-06,The Rock
1996-04-12,Getting Away with Murder
1994-03-25,Cemetery Man
1996-05-10,Twister
1996-05-02,Barb Wire
1995-10-31,Le Garçu
1996-04-11,Honeymoon
1995-11-18,Ghost in the Shell
1996-10-25,Thinner
1996-05-24,Spy Hard
1995-08-23,Brothers in Trouble
1995-12-24,A Close Shave
1948-12-25,Force of Evil
1996-08-30,The Stupids
1996-05-31,The Arrival
1943-08-04,The Man from Down Under
1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1992-09-30,Careful
1995-09-11,A Month by the Lake
1995-11-03,Gold Diggers: The Secret of Bear Mountain
1950-12-07,Kim
1995-04-13,Carmen Miranda: Bananas Is My Business
1994-09-16,Ashes of Time
1994-04-01,The Jar
1995-11-10,Maya Lin: A Strong Clear Vision
1993-01-21,Stalingrad
1996-06-06,The Phantom
1996-06-28,Striptease
1996-12-06,The Last of the High Kings
1995-01-20,Heavy
1996-08-09,Jack
1996-05-01,I Shot Andy Warhol
1995-09-10,The Grass Harp
1995-09-09,Someone Else's America
1987-11-17,Life is Rosy
1992-05-26,Quartier Mozart
1973-07-01,Touki Bouki
1982-01-01,God's Gift
1968-05-16,Spirits of the Dead
1994-05-04,Babyfever
1995-01-01,Pharaoh's  Army
1996-02-23,Trainspotting
1997-05-30,Til There Was You
1996-06-25,Independence Day
1996-03-29,Stealing Beauty
1996-08-15,The Fan
1996-06-21,The Hunchback of Notre Dame
1996-06-10,The Cable Guy
1996-07-04,Kingpin
1996-06-21,Eraser
1995-01-01,The Gate of Heavenly Peace
1996-06-26,The Nutty Professor
1990-08-09,"I, the Worst of All"
1994-05-15,An Unforgettable Summer
1987-01-01,A Hungarian Fairy Tale
1993-01-01,My Life and Times With Antonin Artaud
1994-09-09,Midnight Dancers
1994-09-27,Somebody to Love
1974-01-01,A Very Natural Thing
1991-09-18,The Old Lady Who Walked in the Sea
1996-12-06,Daylight
1996-07-18,The Frighteners
1996-06-21,Lone Star
1996-07-10,Harriet the Spy
1996-07-05,Phenomenon
1996-07-17,Walking and Talking
1996-08-26,She's the One
1996-07-24,A Time to Kill
1996-09-13,American Buffalo
1995-03-22,Rendezvous in Paris
1996-08-14,Alaska
1996-07-19,Fled
1996-07-17,Kazaam
1994-10-23,Magic Hunter
1996-10-31,Larger Than Life
1996-05-22,A Boy Called Hate
1996-05-17,Power 98
1995-09-10,Two Deaths
1996-08-23,A Very Brady Sequel
1993-05-26,Stefano Quantestorie
1956-09-21,Death in the Garden
1992-01-01,Hedd Wyn
1967-03-02,La Collectionneuse
1993-09-11,Kaspar Hauser
1996-05-30,Regular Guys
1996-06-20,Diebinnen
1995-09-06,The Convent
1996-07-26,The Adventures of Pinocchio
1996-07-26,Joe's Apartment
1996-09-20,The First Wives Club
1995-10-01,Stonewall
1996-11-08,Ransom
1996-10-25,High School High
1996-08-02,Phat Beach
1996-08-23,Foxfire
1996-08-02,Chain Reaction
1996-08-02,Matilda
1996-08-02,Emma
1996-08-29,The Crow: City of Angels
1996-08-14,House Arrest
1960-01-11,Eyes Without a Face
1996-08-16,Bordello of Blood
1995-06-01,Lotto Land
1994-03-30,The Story of Xinghua
1994-01-01,The Day the Sun Turned Cold
1995-09-14,Flirt
1996-09-06,The Big Squeeze
1996-08-23,The Spitfire Grill
1996-08-09,Escape from L.A.
1995-01-01,Cyclo
1996-08-09,Basquiat
1996-08-16,Tin Cup
1991-06-02,Dingo
1958-06-01,The Ballad of Narayama
1990-08-28,Every Other Weekend
1993-01-01,Mille bolle blu
1949-01-01,Crows and Sparrows
1972-03-14,The Godfather
1994-10-05,Maybe... Maybe Not
1992-07-04,Police Story 3: Supercop
1996-01-22,Manny & Lo
1953-04-29,Wife
1996-04-05,Small Faces
1996-09-13,Bound
1996-08-23,Carpool
1990-11-08,Death in Brunswick
1996-08-16,Kansas City
1997-05-30,Gone Fishin'
1996-07-12,Lover's Knot
1994-09-02,Vive L'Amour
1976-01-31,Shadow of Angels
1996-09-06,Killer: A Journal of Murder
1994-01-01,Nothing to Lose
1993-10-21,Project S
1996-08-21,Girls Town
1995-08-30,Bye-Bye
1997-01-10,The Relic
1996-08-23,The Island of Dr. Moreau
1996-08-30,First Kid
1996-08-30,The Trigger Effect
1995-06-08,Sweet Nothing
1996-09-06,Bogus
1996-09-06,Bulletproof
1998-10-30,Talk of Angels
1995-03-16,The Land Before Time III: The Time of the Great Giving
1994-09-01,1-900
1988-10-08,Baton Rouge
1995-09-29,Halloween: The Curse of Michael Myers
1996-10-31,Twelfth Night
1996-11-01,Mother Night
1933-03-10,Liebelei
2010-05-25,Venice
1994-05-05,Wild Reeds
1943-07-12,For Whom the Bell Tolls
1940-12-05,The Philadelphia Story
1952-04-10,Singin' in the Rain
1951-08-08,An American in Paris
1957-02-13,Funny Face
1961-10-05,Breakfast at Tiffany's
1958-05-09,Vertigo
1954-08-01,Rear Window
1934-02-22,It Happened One Night
1944-05-04,Gaslight
1934-10-12,The Gay Divorcee
1959-07-07,North by Northwest
1960-06-15,The Apartment
1959-03-18,Some Like It Hot
1963-12-05,Charade
1942-11-26,Casablanca
1941-11-18,The Maltese Falcon
1964-10-21,My Fair Lady
1954-09-28,Sabrina
1953-09-02,Roman Holiday
1939-03-17,The Little Princess
1944-11-23,Meet Me in St. Louis
1939-08-15,The Wizard of Oz
1939-12-15,Gone with the Wind
1982-10-01,My Favorite Year
1950-08-10,Sunset Boulevard
1941-04-30,Citizen Kane
1968-04-10,2001: A Space Odyssey
1947-08-27,Golden Earrings
1950-11-09,All About Eve
1939-01-01,The Women
1940-04-12,Rebecca
1940-08-16,Foreign Correspondent
1946-08-15,Notorious
1945-12-28,Spellbound
1957-07-11,An Affair to Remember
1955-08-03,To Catch a Thief
1950-06-16,Father of the Bride
1953-08-07,The Band Wagon
