release_year,title,popularity
1994,Safe Passage,4.931565
1994,The River Wild,10.511241
1994,Speed,10.859292
1994,Speechless,2.334226
1994,Timecop,8.907074
1994,True Lies,11.396099
1994,When a Man Loves a Woman,4.322544
1994,Wolf,14.063845
1994,Wyatt Earp,9.277147
1995,Bad Company,0.912415
1994,A Man of No Importance,0.406113
1994,S.F.W.,2.504529
1994,A Low Down Dirty Shame,3.021526
1994,"Boys Life: Three Stories of Love, Lust, and Liberation",0.054148
1994,Colonel Chabert,0.934312
1965,"Faster, Pussycat! Kill! Kill!",4.220541
1994,Jason's Lyric,0.912909
1993,The Secret Adventures of Tom Thumb,0.381704
1994,Street Fighter,13.58449
1995,Coldblooded,2.342756
1997,Desert Winds,0.251223
1995,Fall Time,1.108494
1995,The Fear,0.268043
1995,Frank and Ollie,0.142357
1995,Girl in the Cadillac,0.405392
1995,Homage,0.014925
1995,Mirage,0.302957
1996,Open Season,0.012456
1995,Dos Crímenes,0.233376
1995,Brother Minister: The Assassination of Malcolm X,0.0368
1994,Highlander: The Final Dimension,6.866634
1995,Federal Hill,0.100685
1994,In the Mouth of Madness,8.497643
1994,8 Seconds,1.888534
1994,Above the Rim,4.38154
1993,Addams Family Values,17.555909
1994,Martin Lawrence: You So Crazy,0.394194
1993,The Age of Innocence,8.013617
1994,Airheads,7.09232
1994,The Air Up There,1.896273
1993,Another Stakeout,12.967239
1994,Bad Girls,14.644772
1994,Barcelona,1.632711
1994,Being Human,2.783872
1993,The Beverly Hillbillies,5.673735
1994,Beverly Hills Cop III,11.787784
1994,Black Beauty,8.398845
1994,Blink,3.00282
1994,Blown Away,13.155071
1994,Blue Chips,6.131056
1994,Blue Sky,4.993829
1993,Body Snatchers,6.559693
1993,Boxing Helena,4.304224
1993,A Bronx Tale,6.115628
1994,Cabin Boy,1.679042
1993,Calendar Girl,1.316741
1993,Carlito's Way,8.698509
1994,City Slickers II: The Legend of Curly's Gold,8.605703
1994,Clean Slate,2.724621
1993,Cliffhanger,9.830853
1993,Coneheads,10.722729
1994,Color of Night,14.228963
1994,Cops & Robbersons,7.042878
1994,The Cowboy Way,4.286279
1993,Dangerous Game,2.70097
1993,Dave,13.696394
1993,Dazed and Confused,6.8652
1993,Demolition Man,11.626116
1994,The Endless Summer 2,0.408159
1994,Even Cowgirls Get the Blues,2.970724
1993,Fatal Instinct,3.555139
1993,Farewell My Concubine,4.875827
1994,The Favor,1.344876
1993,Fearless,9.284624
1994,Fear of a Black Hat,0.985441
1994,With Honors,2.969003
1993,Flesh and Bone,1.896869
1994,Widows' Peak,0.409427
1993,For Love or Money,8.468869
1993,The Firm,9.678367
1993,Free Willy,5.990572
1994,Fresh,3.970215
1993,The Fugitive,10.08937
1993,Geronimo: An American Legend,4.653462
1994,The Getaway,14.214403
1994,Getting Even with Dad,2.410545
1994,Go Fish,0.775898
1994,A Good Man in Africa,5.22583
1993,Guilty as Sin,5.385108
1993,Hard Target,7.834351
1993,Heaven & Earth,4.190541
1993,Hot Shots! Part Deux,13.482371
1995,Live Nude Girls,2.138959
1995,The Englishman Who Went Up a Hill But Came Down a Mountain,5.331753
1993,The House of the Spirits,10.687795
1994,House Party 3,0.996047
1994,The Hudsucker Proxy,7.550545
1994,I'll Do Anything,1.742974
1994,In the Army Now,6.071466
1993,In the Line of Fire,12.637158
1993,In the Name of the Father,7.405895
1994,The Inkwell,0.613335
1993,What's Love Got to Do with It,14.820883
1994,Jimmy Hollywood,4.563989
1993,Judgment Night,5.538671
1993,Jurassic Park,8.863776
1993,Kalifornia,8.4337
1993,Killing Zoe,4.948569
1993,King of the Hill,4.375347
1994,Lassie,3.645342
1993,Last Action Hero,9.434006
1993,Life With Mikey,6.446229
1994,Lightning Jack,2.913584
1993,M. Butterfly,6.516976
1993,Made in America,5.43085
1993,Malice,9.861672
1993,The Man without a Face,5.997712
1993,Manhattan Murder Mystery,8.939404
1993,Menace II Society,5.260924
1996,Executive Decision,13.106291
1976,In the Realm of the Senses,8.932494
1994,What Happened Was...,0.534606
1993,Much Ado About Nothing,8.62724
1993,Mr. Jones,6.579753
1993,Mr. Wonderful,13.011091
1993,Mrs. Doubtfire,11.16553
1993,Naked,8.665198
1994,The Next Karate Kid,9.9697
1994,The New Age,0.596207
1994,No Escape,9.715187
1994,North,15.534707
1992,Orlando,3.800785
1993,A Perfect World,8.040589
1993,Philadelphia,13.373006
1993,The Piano,7.436758
1993,Poetic Justice,6.972599
1993,The Program,3.199976
1994,The Puppet Masters,7.272296
1994,Radioland Murders,8.506727
1994,The Ref,5.868677
1993,The Remains of the Day,12.222576
1994,Renaissance Man,4.985157
1993,Rising Sun,6.279082
1994,The Road to Wellville,3.416181
1993,RoboCop 3,8.685798
1993,Robin Hood: Men in Tights,17.136672
1993,Romeo Is Bleeding,9.796318
1992,Romper Stomper,5.157926
1993,Ruby in Paradise,0.941994
1993,Rudy,5.914833
1993,The Saint of Fort Washington,1.065843
1992,Savage Nights,1.031556
1993,Schindler's List,41.725123
1994,The Scout,5.715608
1993,Searching for Bobby Fischer,12.048587
1994,Second Best,0.882596
1993,The Secret Garden,6.499523
1994,Serial Mom,5.305311
1994,The Shadow,7.881107
1993,Shadowlands,2.96586
1993,Short Cuts,8.829337
1994,A Simple Twist of Fate,4.13516
1993,Sirens,2.86213
1993,Six Degrees of Separation,8.730025
1993,Sleepless in Seattle,10.234919
1993,Sliver,11.23297
1982,Blade Runner,96.272374
1993,Son in Law,9.122718
1993,So I Married an Axe Murderer,8.051914
1993,Striking Distance,13.390917
1985,Harem,1.825468
1993,Super Mario Bros.,7.198455
1994,Surviving the Game,3.644641
1994,Terminal Velocity,8.012225
1993,Thirty Two Short Films About Glenn Gould,0.873068
1994,Threesome,10.82236
1993,The Nightmare Before Christmas,17.730913
1993,The Three Musketeers,6.34785
1993,Tombstone,11.338194
1994,Trial by Jury,0.85586
1993,True Romance,17.189328
1993,The War Room,1.273617
1994,The Pagemaster,7.436001
1994,"Paris, France",0.741522
1994,"The Beans of Egypt, Maine",0.38247
1994,Killer,0.422224
1995,Welcome to the Dollhouse,5.14056
1993,Germinal,2.759302
1994,Chasers,9.85327
1993,Cronos,5.513024
1993,Naked in New York,0.449733
1993,Kika,3.647321
1994,Bhaji on the Beach,0.441585
1994,Little Big League,1.960563
1993,The Slingshot,1.764582
1993,Wide Eyed and Legless,0.00015
1994,Foreign Student,0.002789
1992,"Ciao, Professore!",3.456868
1994,Spanking the Monkey,2.799575
1994,The Little Rascals,6.707109
1993,À la mode,8.2e-05
1994,Andre,3.139316
1993,The Escort,0.046196
1994,Princess Caraboo,1.943323
1996,The Celluloid Closet,6.784687
1993,Café au Lait,1.040873
1993,Dear Diary,2.904734
1993,I Don't Want to Talk About It,1.213481
1995,The Brady Bunch Movie,4.233092
1990,Home Alone,0.702543
1990,Ghost,11.945397
1992,Aladdin,16.357419
1991,Terminator 2: Judgment Day,22.661695
1990,Dances with Wolves,11.654349
1995,Tough and Deadly,0.426887
1989,Batman,19.10673
1991,The Silence of the Lambs,4.307222
1937,Snow White and the Seven Dwarfs,16.263878
1991,Beauty and the Beast,23.433511
1940,Pinocchio,14.202284
1990,Pretty Woman,13.348451
1993,Window to Paris,0.345748
1969,The Wild Bunch,11.722424
1994,Love and a .45,3.40523
1994,The Wooden Man's Bride,0.088451
1994,A Great Day in Harlem,0.076352
1995,Bye Bye Love,2.47308
1996,One Fine Day,7.009946
1995,Candyman: Farewell to the Flesh,4.983552
1993,Century,1.461029
1996,Fargo,12.61469
1996,Homeward Bound II: Lost in San Francisco,14.657754
1981,Heavy Metal,7.640073
1996,Hellraiser: Bloodline,5.263187
1996,The Pallbearer,8.174116
1996,Jane Eyre,2.420301
1996,Loaded,0.618066
1974,Bread and Chocolate,1.306628
1970,The Aristocats,9.834047
1995,The Flower of My Secret,2.286788
1996,Two Much,1.620174
1996,Ed,5.174212
1991,Scream of Stone,0.736081
1993,My Favorite Season,0.516924
1996,A Modern Affair,0.173207
1995,Condition Red,0.793932
1990,Halfaouine: Boy of the Terraces,1.983301
1996,A Thin Line Between Love and Hate,2.256747
1995,The Last Supper,4.619915
1996,Primal Fear,10.326213
1995,Rude,0.065827
1996,Carried Away,1.67218
1996,All Dogs Go to Heaven 2,5.028897
1995,Land and Freedom,6.144235
1995,Denise Calls Up,0.466476
1995,Theodore Rex,2.583686
1996,A Family Thing,6.207993
1996,Frisk,0.319215
1996,Sgt. Bilko,5.70904
1995,Jack & Sarah,1.523446
1996,Girl 6,4.405169
1996,Diabolique,4.530079
1994,"Little Indian, Big City",4.728163
1995,Roula,0.149157
1996,Peanuts – Die Bank zahlt alles,0.066123
1996,Happy Weekend,0.002229
1996,Nelly and Monsieur Arnaud,1.784647
1996,Courage Under Fire,11.595316
1996,Mission: Impossible,15.793477
1995,Cold Fever,0.494977
1996,Moll Flanders,2.337263
1996,The Superwife,0.821299
1995,"301, 302",0.396626
1996,DragonHeart,23.63659
1996,Und keiner weint mir nach,0.439989
1995,My Mother's Courage,0.622885
1996,Eddie,3.09233
1993,Yankee Zulu,1.558066
1995,Billy's Holiday,0.002444
1960,Purple Noon,3.804493
1996,August,0.987434
1996,James and the Giant Peach,13.217623
1996,Fear,6.954926
1996,Kids in the Hall: Brain Candy,2.299851
1996,Faithful,1.296862
1995,Underground,14.587894
1995,All Things Fair,3.582047
1996,Bloodsport II,3.085207
1955,Pather Panchali,3.900709
1959,The World of Apu,2.381806
1996,Mystery Science Theater 3000: The Movie,2.985163
1996,Tarantella,0.001662
1996,Space Jam,11.054251
1968,Barbarella,14.304205
1995,Hostile Intentions,0.062388
1996,They Bite,0.466991
1994,Some Folks Call It a Sling Blade,0.459376
1995,The Run of the Country,0.117662
1965,Alphaville,4.658149
1981,Coup de Torchon,2.272213
1994,Tigrero: A Film That Was Never Made,0.18343
1993,The Eye of Vichy,0.004117
1980,Windows,0.400023
1996,It's My Party,2.791667
1994,Country Life,0.487357
1995,Operation Dumbo Drop,4.357971
1995,The Promise,0.122178
1996,Mrs. Winterbourne,9.1861
1996,Solo,1.899069
1994,Under The Domim Tree,0.71066
1996,The Substitute,10.68537
1996,True Crime,1.217249
1995,Butterfly Kiss,0.877853
1996,Feeling Minnesota,10.298582
1995,Delta of Venus,1.099187
1991,To Cross the Rubicon,0.006854
1995,Angus,2.25008
1992,Priest Daens,0.755047
1968,Faces,7.918418
1996,Boys,1.579153
1996,The Quest,7.941972
1996,Cosi,0.947007
1996,Sunset Park,1.231692
1996,Mulholland Falls,5.79463
1996,The Truth About Cats & Dogs,5.121203
1988,Oliver & Company,10.813579
1996,Celtic Pride,1.940747
1996,Flipper,4.557006
1994,Captives,1.926109
1994,Of Love and Shadows,0.709209
1995,Dead Man,6.505272
1995,The Horseman on the Roof,1.690768
1975,Switchblade Sisters,6.035166
1995,Mouth to Mouth,1.133409
1993,The Visitors,7.326169
1996,Multiplicity,8.768806
1996,"The Haunted World of Edward D. Wood, Jr.",0.037443
2002,Two Friends,0.003949
1996,The Craft,12.860385
1996,The Great White Hype,3.321765
1996,Last Dance,1.196686
1995,Cold Comfort Farm,1.92386
1995,"Institute Benjamenta, or This Dream People Call Human Life",0.543042
1996,Heaven's Prisoners,9.264679
1996,Original Gangstas,0.343579
1996,The Rock,13.249824
1996,Getting Away with Murder,0.746662
1994,Cemetery Man,6.247819
1996,Twister,8.739144
1996,Barb Wire,5.877599
1995,Le Garçu,0.125882
1996,Honeymoon,0.652621
1995,Ghost in the Shell,10.686166
1996,Thinner,4.856229
1996,Spy Hard,8.202057
1995,Brothers in Trouble,0.594716
1995,A Close Shave,6.796858
1948,Force of Evil,4.386329
1996,The Stupids,1.751457
1996,The Arrival,6.497591
1943,The Man from Down Under,0.068254
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.80398
1992,Careful,0.160571
1995,A Month by the Lake,0.851078
1995,Gold Diggers: The Secret of Bear Mountain,5.508101
1950,Kim,1.048075
1995,Carmen Miranda: Bananas Is My Business,0.146287
1994,Ashes of Time,5.215992
1994,The Jar,0.401531
1995,Maya Lin: A Strong Clear Vision,0.001608
1993,Stalingrad,7.667284
1996,The Phantom,8.079541
1996,Striptease,11.341502
1996,The Last of the High Kings,1.427756
1995,Heavy,0.889498
1996,Jack,6.287245
1996,I Shot Andy Warhol,2.771201
1995,The Grass Harp,0.365418
1995,Someone Else's America,0.099602
1987,Life is Rosy,0.514363
1992,Quartier Mozart,0.011938
1973,Touki Bouki,0.043903
1982,God's Gift,0.049573
1968,Spirits of the Dead,1.794298
1994,Babyfever,0.001687
1995,Pharaoh's  Army,0.837911
1996,Trainspotting,19.348466
1997,Til There Was You,2.700061
1996,Independence Day,17.634197
1996,Stealing Beauty,6.418805
1996,The Fan,12.202063
1996,The Hunchback of Notre Dame,13.553999
1996,The Cable Guy,7.586577
1996,Kingpin,11.633347
1996,Eraser,6.919314
1995,The Gate of Heavenly Peace,0.10705
1996,The Nutty Professor,9.651581
1990,"I, the Worst of All",0.202495
1994,An Unforgettable Summer,0.826372
1987,A Hungarian Fairy Tale,0.043125
1993,My Life and Times With Antonin Artaud,0.000308
1994,Midnight Dancers,0.05956
1994,Somebody to Love,0.970688
1974,A Very Natural Thing,0.147662
1991,The Old Lady Who Walked in the Sea,0.573423
1996,Daylight,11.995799
1996,The Frighteners,12.09096
1996,Lone Star,9.069963
1996,Harriet the Spy,4.086563
1996,Phenomenon,5.575992
1996,Walking and Talking,0.913281
1996,She's the One,10.827266
1996,A Time to Kill,13.309013
1996,American Buffalo,7.031279
1995,Rendezvous in Paris,0.227128
1996,Alaska,2.318141
1996,Fled,3.906949
1996,Kazaam,8.962892
1994,Magic Hunter,0.091984
1996,Larger Than Life,3.521921
1996,A Boy Called Hate,1.56604
1996,Power 98,0.926867
1995,Two Deaths,0.145092
1996,A Very Brady Sequel,9.898696
1993,Stefano Quantestorie,0.036699
1956,Death in the Garden,1.116063
1992,Hedd Wyn,0.270432
1967,La Collectionneuse,1.683348
1993,Kaspar Hauser,0.000578
1996,Regular Guys,1.165202
1996,Diebinnen,0.106345
1995,The Convent,1.606957
1996,The Adventures of Pinocchio,7.523528
1996,Joe's Apartment,9.490858
1996,The First Wives Club,10.177303
1995,Stonewall,0.940228
1996,Ransom,8.772188
1996,High School High,4.220058
1996,Phat Beach,0.879852
1996,Foxfire,3.186891
1996,Chain Reaction,15.874491
1996,Matilda,10.034915
1996,Emma,6.593011
1996,The Crow: City of Angels,6.554679
1996,House Arrest,12.297782
1960,Eyes Without a Face,9.935891
1996,Bordello of Blood,3.450402
1995,Lotto Land,0.042365
1994,The Story of Xinghua,0.001652
1994,The Day the Sun Turned Cold,0.076062
1995,Flirt,1.663948
1996,The Big Squeeze,0.404501
1996,The Spitfire Grill,1.19589
1996,Escape from L.A.,12.229381
1995,Cyclo,1.781952
1996,Basquiat,4.797674
1996,Tin Cup,6.24966
1991,Dingo,0.124273
1958,The Ballad of Narayama,0.969254
1990,Every Other Weekend,0.629807
1993,Mille bolle blu,0.03537
1949,Crows and Sparrows,0.036478
1972,The Godfather,41.109264
1994,Maybe... Maybe Not,8.593319
1992,Police Story 3: Supercop,6.751864
1996,Manny & Lo,1.143656
1953,Wife,0.096079
1953,Wife,0.619388
1996,Small Faces,0.90913
1996,Bound,12.449574
1996,Carpool,3.714049
1990,Death in Brunswick,0.913987
1996,Kansas City,5.130136
1997,Gone Fishin',2.289647
1996,Lover's Knot,0.14315
1994,Vive L'Amour,1.404588
1976,Shadow of Angels,0.364246
1996,Killer: A Journal of Murder,0.705136
1994,Nothing to Lose,0.001771
1993,Project S,1.262539
1996,Girls Town,0.635669
